date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2025-06-29,309792.07713770005,995260121.1336331,118468742710105.28,840424618.7214154,-1.3156494754800883
2025-06-30,455555.37119860004,843035679.3574839,116958512019762.0,835108866.5726267,-0.5514282621932147
2025-07-01,448379.03791420016,779081248.5096745,116958512019762.0,837792834.0718586,-0.5952559949590253
2025-07-02,491126.5067342001,889547992.701345,116958512019762.0,838492510.0076331,-0.3675721200660561
2025-07-03,465979.5033646,877919914.3653797,116958512019762.0,844196702.2279845,-0.5018561341936766
2025-07-04,366497.50840610015,924432227.709241,116958512019761.97,842450722.5900342,-1.0329989329734957
2025-07-05,332567.09397260007,912804149.3732755,116958512019761.98,844362699.2423747,-1.2107728435448593
2025-07-06,435562.5404212,930246266.8772235,116958512019761.95,862781554.6992918,-0.6558511228759929
2025-07-07,440246.9788941,877919914.3653797,116958512019762.0,877462813.5482198,-0.6191933054847943
2025-07-08,504048.44171439996,825593561.8535358,116958512019762.0,883917942.4748708,-0.28484379531056087
2025-07-09,541491.1659896998,953502423.549154,116958512019761.9,887839232.048345,-0.09272858380418007
2025-07-10,558278.2768032,994200697.7250328,116958512019761.83,888383594.565807,0.0012044594066849064
2025-07-11,648253.1650886001,872105875.197397,116958512019762.0,899058738.2513056,0.4699507142879271
2025-07-12,475590.08132749953,918141001.6128464,123958694872574.84,899556505.3093287,-0.46030578939204125
2025-07-13,503048.4325394998,859946006.057642,126271255279307.47,889891211.3753293,-0.3109394310665626
2025-07-14,707845.2244780998,910161831.228891,126271255279307.5,894685936.5090011,0.772054125713801
2025-07-15,494649.97886509984,1029424416.010608,126271255279307.56,912567591.3304965,-0.36808173441651526
2025-07-16,539026.658809,822284137.1792051,126271255279307.45,907763030.2217722,-0.13268174163297408
2025-07-17,759875.8270961998,853669027.9112357,126271255279307.47,906030824.0464762,1.0262762247940702
2025-07-18,555282.9509184998,903884853.0824848,126271255279307.5,904563154.4302795,-0.0648209332431988
2025-07-19,527824.4994325002,891330896.7896729,126271255279307.5,903029350.6743078,-0.21526541637045185
2025-07-20,373225.6475633999,935269743.8145157,126271255279307.52,903388170.4555429,-1.0225913379932527
2025-07-21,503624.6106511,941546721.960922,126271255279307.52,907932942.426653,-0.3270870604308529
2025-07-22,521343.4692966999,941546721.960922,126271255279307.52,916215311.005752,-0.20982693702138866
2025-07-23,497337.5907055001,878776940.4968604,126271255279307.48,910877776.5020168,-0.3257185238899225
2025-07-24,1167863.0273503999,922715787.5217032,126271255279307.52,905771711.4874933,3.183664417619221
2025-07-25,640284.2510954001,1004316503.4249833,126271255279307.55,915215327.7894639,0.39857968473882294
2025-07-26,504849.25492689974,970032969.1338755,127540743850681.12,918921896.8981087,-0.31609420695773965
2025-07-27,503102.1029167001,869131963.3112651,127620086886392.0,919578036.7019389,-0.3181111439326939
2025-07-28,523055.56434399995,919884194.7454995,127620086886392.0,920272491.2388395,-0.20920300730201496
2025-07-29,616889.9551534996,710531240.0792824,127620086886392.0,897494407.2437449,0.2857319983175019
2025-07-30,501456.5726224999,869131963.3112651,127620086886392.0,900840680.5388919,-0.32092294612913097
2025-07-31,469306.96322790015,976980455.1090133,127620086886392.0,909648639.6244476,-0.48526335661555176
2025-08-01,650735.3773200996,957948368.3211753,127620086886392.0,913510319.284354,0.4555258137267982
2025-08-02,469641.7091407004,919884194.7454995,127620086886392.0,915549840.5669129,-0.5123484306993322
2025-08-03,354102.4855785996,983324484.0382924,127620086886392.0,918982322.0114685,-1.112423692751754
2025-08-04,391000.8551261003,1084828946.9067616,127620086886392.0,929216766.6504571,-0.9076911521759737
2025-08-05,419262.03134079993,875475992.2405444,127620086886392.0,924497428.8132874,-0.744145643649791
2025-08-06,675583.1462656002,913540165.8162203,127620086886392.0,926980516.3360987,0.6009848176973486
2025-08-07,606753.4561265005,1021388657.6139685,127620086886392.0,934028578.4855461,0.24854147289145634
2025-08-08,661202.0397023001,870485436.2761792,127818825794488.94,924469216.5463458,0.5239335370356687
2025-08-09,537494.3760560004,746374213.3917352,129435235580344.62,908493591.136193,-0.1400145720893123
2025-08-10,367168.20194830024,868625162.1369333,129435235580344.53,908457391.0523121,-1.0906106441000087
2025-08-11,532546.2248090997,945836287.6602162,129435235580344.48,910311111.9747919,-0.1130778640299305
2025-08-12,514602.6123685003,881493683.0574806,129435235580344.53,922522715.0446632,-0.2046666960952769
2025-08-13,534109.5736517996,1003744631.8026783,129435235580344.47,932137905.6511928,-0.08743800029519881
2025-08-14,519827.2050705001,1042350194.56432,129435235580344.44,936807172.7551432,-0.13643312235897703
2025-08-15,431323.5219931001,862190901.6766596,129435235580344.53,929967353.7091064,-0.720687607631617
2025-08-16,352155.73949159996,978007589.9615842,129435235580344.47,934119024.7959697,-1.2346854424929055
2025-08-17,301652.2018775999,978007589.9615842,129435235580344.47,933739246.6476333,-1.5399524292468103
2025-08-18,399097.2322444002,990876110.8821313,129435235580344.47,927028329.7887312,-0.8620757712416913
2025-08-19,388062.75295719993,862190901.6766596,129435235580344.53,926079394.7484535,-0.9254163504683769
2025-08-20,396397.7700336002,907230724.8985746,129435235580344.52,925628720.3971932,-0.8574038173138676
2025-08-21,364752.86292660004,958704808.5807632,129435235580344.48,921151302.6091071,-1.064694642825654
2025-08-22,401414.8166953,939585701.641628,129460543109965.75,926087035.8494962,-0.7814227324761737
2025-08-23,316111.6649729999,980001769.6141683,129699156960680.47,942774718.436813,-1.3792088738253703
2025-08-24,266039.9594377,1057370330.3731811,129699156960680.44,956256516.1679735,-1.6903034399250878
2025-08-25,326427.3828973001,909080588.9184059,129699156960680.52,953631109.1149871,-1.2321292168191618
2025-08-26,367907.75003929995,967107009.4876657,129699156960680.48,959746346.7171432,-0.9311568451561563
2025-08-27,415229.94353500014,967107009.4876657,129699156960680.48,957129373.6946422,-0.5717231662145617
2025-08-28,378705.24455069995,1025133430.0569257,129699156960680.45,955899604.801257,-0.8206258075964147
2025-08-29,389240.1652717001,1063817710.4364324,129699156960680.44,970301519.7126694,-0.7396826673607396
2025-08-30,358535.09255500004,1018686049.9936746,129699156960680.45,973207124.0006756,-0.9638323474639197
2025-08-31,328571.2197002999,851054168.3491462,129699156960680.55,964139022.4569302,-1.1603997547553255
2025-09-01,1061076.3818421,1038028190.1834283,129699156960680.45,967507028.1213086,3.771591148506722
2025-09-02,568811.1251085999,1050922950.3099302,129699156960680.44,980987888.7379707,0.489358800055448
2025-09-03,708711.0561256002,883291068.6654017,129699156960680.53,979277913.292744,1.3888341414050178
2025-09-04,545663.6007904,902633208.8551546,129699156960680.52,975272799.0266292,0.3107925550236109
2025-09-05,798578.5719341001,957592801.7399701,134709652731984.95,976559020.462225,1.9101602410595833
2025-09-06,404443.3593802001,946761026.3534616,136039872848260.48,974184681.6578888,-0.6482151018391977
2025-09-07,358999.4006492001,1041437128.988808,136039872848260.44,973046595.8447193,-0.9265020949612113
2025-09-08,462264.6082519997,1082012601.5468137,136039872848260.42,985398882.461034,-0.24990981558735367
2025-09-09,518603.9156243999,1129350652.8644862,136039872848260.4,996987714.130807,0.11522480591921813
2025-09-10,461436.58874749986,1149638389.1434891,136039872848260.4,1010025669.8205088,-0.250658195153222
2025-09-11,471484.75869760005,1014386813.9501374,136039872848260.45,1009258054.3843096,-0.17096931695853773
2025-09-12,581832.5587754002,811509451.1601102,136039872848260.56,991236035.8645723,0.5345088104123592
2025-09-13,519236.1506937,953523605.1131293,136039872848260.48,986581575.5159619,0.1067958899591023
2025-09-14,368009.7275761001,1034674550.2291405,136039872848260.44,999697317.0788186,-0.8837323229207255
2025-09-15,510972.2694737,1102300337.8258162,136039872848260.42,1004288184.7675607,0.07502249851056354
2025-09-16,490850.8565477003,1082012601.5468137,136039872848260.42,1006508874.1416236,-0.04188641702024659
2025-09-17,653712.1029144007,865610081.2374508,136039872848260.53,1005245946.4681987,1.0437333530979689
2025-09-18,443633.31275339995,1087599379.1411881,138473205347661.55,1018457815.7743438,-0.3600249078322597
2025-09-19,448216.6315988001,1188749380.7897809,142342602928675.62,1034968999.9921876,-0.33663362272328884
2025-09-20,383200.9366258,1082611043.2192645,142342602928675.6,1044672572.6254593,-0.7896577062290476
2025-09-21,350235.5522210002,1146294045.7615743,142342602928675.6,1052162352.3949425,-0.9969407024323893
2025-09-22,384289.46025490004,1061383375.7051616,142342602928675.56,1050688836.263396,-0.7486995249298654
2025-09-23,315002.29749710014,1018928040.676955,142342602928675.56,1042801506.8214294,-1.1941191565191902
2025-09-24,325898.8374615002,1082611043.2192645,142342602928675.6,1038013839.2554133,-1.1066524800163149
2025-09-25,369139.8622364001,997700373.1628518,142342602928675.53,1036821950.6277502,-0.798517561502304
2025-09-26,462875.7653541,934017370.6205422,142342602928675.5,1045572516.3034953,-0.1604789339897888
2025-09-27,290799.4655221,1096762821.5620003,142342602928675.6,1055803888.9069861,-1.3359429336705066
2025-09-28,242668.76587620008,1167521713.2756777,142342602928675.62,1065292971.9817387,-1.6245224349204659
2025-09-29,384507.80065169994,990624483.9914839,142342602928675.53,1057316125.2792864,-0.6623713348579197
2025-09-30,369839.2339656,1139218156.5902066,142342602928675.6,1061402236.3538145,-0.7495613593725259
