date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-09-11 00:00:00,598288.0,,1.5002413133333337,36.95,35.26
2025-09-11 04:15:00,,1084774.5,,,
2025-09-11 10:00:00,,693039.5,,,
2025-09-11 15:45:00,,816844.0,,,
2025-09-11 21:30:00,,401731.5,,,
2025-09-12 00:00:00,396343.0,,1.6223316,35.26,34.66
2025-09-12 03:15:00,,2322956.5,,,
2025-09-12 09:00:00,,1653424.0,,,
2025-09-12 14:45:00,,1557250.0,,,
2025-09-12 20:30:00,,1492704.0,,,
2025-09-13 00:00:00,532946.0,,1.5886562978723398,34.66,34.28
2025-09-13 02:15:00,,287478.5,,,
2025-09-13 08:00:00,,685209.0,,,
2025-09-13 13:45:00,,505291.5,,,
2025-09-13 19:30:00,,333600.0,,,
2025-09-14 00:00:00,534052.0,,1.6307628496732034,34.28,34.41
2025-09-14 01:15:00,,753947.0,,,
2025-09-14 07:00:00,,165142.0,,,
2025-09-14 12:45:00,,803742.5,,,
2025-09-14 18:30:00,,1035869.5,,,
2025-09-15 00:00:00,534987.0,,1.4895045950920243,34.41,35.56
2025-09-15 00:15:00,,1761629.0,,,
2025-09-15 06:00:00,,126064.0,,,
2025-09-15 11:45:00,,263169.0,,,
2025-09-15 17:30:00,,710688.0,,,
2025-09-15 23:15:00,,1088483.0,,,
2025-09-16 00:00:00,536445.0,,1.5766841812499999,35.56,36.52
2025-09-16 05:00:00,,638996.0,,,
2025-09-16 10:45:00,,1423253.0,,,
2025-09-16 16:30:00,,1141814.5,,,
2025-09-16 22:15:00,,388790.0,,,
2025-09-17 00:00:00,362737.0,,1.5138621484374994,36.52,35.55
2025-09-17 04:00:00,,1476300.0,,,
2025-09-17 09:45:00,,576447.5,,,
2025-09-17 15:30:00,,2329664.0,,,
2025-09-17 21:15:00,,3606017.0,,,
2025-09-18 00:00:00,448319.0,,1.4849593670886079,35.55,33.81
2025-09-18 03:00:00,,1680379.5,,,
2025-09-18 08:45:00,,1237429.5,,,
2025-09-18 14:30:00,,605034.0,,,
2025-09-18 20:15:00,,2712811.5,,,
2025-09-19 00:00:00,478120.0,,1.513931482142857,33.81,34.78
2025-09-19 02:00:00,,1128540.0,,,
2025-09-19 07:45:00,,757138.0,,,
2025-09-19 13:30:00,,5785567.5,,,
2025-09-19 19:15:00,,693940.5,,,
2025-09-20 00:00:00,498405.0,,1.4853958169934636,34.78,34.48
2025-09-20 01:00:00,,363192.5,,,
2025-09-20 06:45:00,,378316.0,,,
2025-09-20 12:30:00,,1555326.0,,,
2025-09-20 18:15:00,,1823353.0,,,
2025-09-21 00:00:00,513363.0,9518315.5,1.4102535925925928,34.48,34.51
2025-09-21 05:45:00,,340528.0,,,
2025-09-21 11:30:00,,391330.5,,,
2025-09-21 17:15:00,,856480.0,,,
2025-09-21 23:00:00,,519849.0,,,
2025-09-22 00:00:00,456539.0,,1.5695040333333343,34.51,35.17
2025-09-22 04:45:00,,3458835.0,,,
2025-09-22 10:30:00,,538575.0,,,
2025-09-22 16:15:00,,1652327.0,,,
2025-09-22 22:00:00,,751492.5,,,
2025-09-23 00:00:00,495753.0,,1.531009361111111,35.17,37.14
